source_layer,filing_date,accession,filing_type,entity_name,entity_type,city,state,jurisdiction,incorporation_period,incorporation_year,industry,fund_type,offering_amount_usd,amount_sold_usd,investors,security_types,is_amendment,early_company_proxy,discovery_score,discovery_band,idea_category,idea_prompt,confidence,source_url
SEC Form D structured,2026-06-30,0001791970-26-000003,D,Health Cost IQ Inc.,Corporation,CHANDLER,AZ,DELAWARE,withinFiveYears,2023,Other Technology,,1499999,1499999,1,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/1791970/000179197026000003/0001791970-26-000003-index.html
SEC Form D structured,2026-06-26,0001955880-26-000001,D,"eMotive Software, Inc.",Corporation,FORT WORTH,TX,TEXAS,withinFiveYears,2022,Other Technology,,2543750,250000,2,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/1955880/000195588026000001/0001955880-26-000001-index.html
SEC Form D structured,2026-06-25,0002142013-26-000001,D,Adam's & Eve's Health Inc.,Corporation,DOVER,DE,DELAWARE,withinFiveYears,2026,Other Technology,,1000000,100000,1,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2142013/000214201326000001/0002142013-26-000001-index.html
SEC Form D structured,2026-06-22,0002000370-26-000001,D,"Flaunt Software, Inc.",Corporation,INDIANAPOLIS,IN,DELAWARE,withinFiveYears,2022,Other Technology,,1500000,1491669,14,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2000370/000200037026000001/0002000370-26-000001-index.html
SEC Form D structured,2026-06-22,0002130106-26-000002,D,Undeniable Health AI Inc.,Corporation,WHITE PLAINS,NY,DELAWARE,withinFiveYears,2026,Other Technology,,600000,600000,13,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2130106/000213010626000002/0002130106-26-000002-index.html
SEC Form D structured,2026-06-10,0002140005-26-000001,D,GrowthIQ AI Inc.,Corporation,EDINA,MN,DELAWARE,withinFiveYears,2026,Other Technology,,600000,400000,5,equity+option,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2140005/000214000526000001/0002140005-26-000001-index.html
SEC Form D structured,2026-06-10,0002137577-26-000001,D,"Vinyl Health, Inc.",Corporation,MARLTON,NJ,DELAWARE,withinFiveYears,2024,Other Technology,,2499998,1000000,1,equity+option,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2137577/000213757726000001/0002137577-26-000001-index.html
SEC Form D structured,2026-06-09,0002139391-26-000001,D,"Battr AI, Inc.",Corporation,WOODS CROSS,UT,DELAWARE,withinFiveYears,2024,Other Technology,,50000,50000,1,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2139391/000213939126000001/0002139391-26-000001-index.html
SEC Form D structured,2026-06-08,0002138602-26-000002,D,palma ai Inc.,Corporation,SAN FRANCISCO,CA,DELAWARE,withinFiveYears,2024,Computers,,2000000,1345666,1,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2138602/000213860226000002/0002138602-26-000002-index.html
SEC Form D structured,2026-06-05,0002138441-26-000001,D,"Memori AI, Inc.",Corporation,MENLO PARK,CA,DELAWARE,withinFiveYears,2026,Other Technology,,5000000,4750000,1,equity,false,true,99,우선 검토,소프트웨어·데이터,기존 업무도구 안에서 반복 작업·검수·예외 처리를 자동화하고 결과 로그를 남기는 수직형 에이전트,structured filing,https://www.sec.gov/Archives/edgar/data/2138441/000213844126000001/0002138441-26-000001-index.html
